款,項,目,名,總額
市議會主管,市議會,一般行政,行政管理,198789794
市議會主管,市議會,議事業務,大會議事工作,104793610
市議會主管,市議會,議事業務,經常議事工作,454816327
市議會主管,市議會,公共關係業務,公共關係,35616568
市議會主管,市議會,建築及設備,其他設備,12004500
市議會主管,市議會,建築及設備,營建工程,0
市議會主管,市議會,第一預備金,第一預備金,6680000
市政府主管,秘書處,一般行政,行政管理,177080164
市政府主管,秘書處,市政綜理業務,市政綜理,62588827
市政府主管,秘書處,聯合服務,為民服務,7694318
市政府主管,秘書處,公共關係業務,公共關係,25862919
市政府主管,秘書處,新聞發布,發布市政新聞,19142951
市政府主管,秘書處,建築及設備,營建工程,699475
市政府主管,秘書處,建築及設備,其他設備,1235272
市政府主管,秘書處,建築及設備,交通及運輸設備,0
市政府主管,秘書處,第一預備金,第一預備金,3900000
市政府主管,市政大樓公共事務管理中,一般行政,行政管理,21657828
市政府主管,市政大樓公共事務管理中,市政大樓公管業務,事務管理,62393825
市政府主管,市政大樓公共事務管理中,市政大樓公管業務,機電設備管理,152437971
市政府主管,市政大樓公共事務管理中,市政大樓公管業務,安全防護管理,61716550
市政府主管,市政大樓公共事務管理中,建築及設備,營建工程,86341630
市政府主管,市政大樓公共事務管理中,建築及設備,其他設備,23446868
市政府主管,主計處,一般行政,行政管理,54149899
市政府主管,主計處,歲計會計業務,總預算核編及督導執,23331029
市政府主管,主計處,歲計會計業務,附屬及特別預算核編,14579384
市政府主管,主計處,歲計會計業務,總會計事務處理及總,16775564
市政府主管,主計處,統計業務,公務統計,13726459
市政府主管,主計處,統計業務,經濟統計,40075251
市政府主管,主計處,建築及設備,其他設備,551200
市政府主管,主計處,建築及設備,交通及運輸設備,0
市政府主管,主計處,第一預備金,第一預備金,600000
市政府主管,人事處,一般行政,行政管理,40725212
市政府主管,人事處,組織及管理,組織及管理,13227081
市政府主管,人事處,任免考試,任免考試,15051196
市政府主管,人事處,考核訓練,考核訓練,15998002
市政府主管,人事處,待遇福利退休撫卹業務,待遇福利及退休撫卹,20386107
市政府主管,人事處,人事資訊業務,人事資訊管理,21816008
市政府主管,人事處,建築及設備,其他設備,649000
市政府主管,人事處,建築及設備,營建工程,821748
市政府主管,人事處,第一預備金,第一預備金,300000
市政府主管,政風處,一般行政,行政管理,27872503
市政府主管,政風處,政風組織及維護管理,政風組織及維護管理,9067993
市政府主管,政風處,端正政風,政風查處,15954820
市政府主管,政風處,貪瀆預防,貪瀆預防及法令宣導,17393279
市政府主管,政風處,建築及設備,交通及運輸設備,0
市政府主管,政風處,建築及設備,其他設備,492683
市政府主管,政風處,第一預備金,第一預備金,200000
市政府主管,公務人員訓練處,一般行政,行政管理,38074380
市政府主管,公務人員訓練處,訓練業務,在職訓練,94536012
市政府主管,公務人員訓練處,建築及設備,營建工程,10128898
市政府主管,公務人員訓練處,建築及設備,其他設備,1710364
市政府主管,公務人員訓練處,第一預備金,第一預備金,225000
市政府主管,研究發展考核委員會,一般行政,行政管理,27190702
市政府主管,研究發展考核委員會,研究發展,市政研究發展及革新,18122529
市政府主管,研究發展考核委員會,管制及考核,施政計畫管制考核,15518619
市政府主管,研究發展考核委員會,為民服務,為民服務暨公文查核,12981143
市政府主管,研究發展考核委員會,市政資料管理,資料及資訊管理,8656524
市政府主管,研究發展考核委員會,計畫作業,計畫評估及編審,17020026
市政府主管,研究發展考核委員會,話務管理,話務管理,95856588
市政府主管,研究發展考核委員會,建築及設備,其他設備,482200
市政府主管,研究發展考核委員會,第一預備金,第一預備金,800000
市政府主管,都市計畫委員會,一般行政,行政管理,7288360
市政府主管,都市計畫委員會,都市計畫業務,都市計畫審議,9975401
市政府主管,都市計畫委員會,建築及設備,其他設備,528400
市政府主管,都市計畫委員會,第一預備金,第一預備金,50000
市政府主管,原住民族事務委員會,一般行政,行政管理,12442370
市政府主管,原住民族事務委員會,綜合企劃業務,綜合企劃業務,19147237
市政府主管,原住民族事務委員會,原住民教育文化業務,原住民教育文化業務,65586577
市政府主管,原住民族事務委員會,原住民經濟建設業務,原住民經濟建設業務,22661003
市政府主管,原住民族事務委員會,原住民社會福利業務,原住民社會福利業務,90163014
市政府主管,原住民族事務委員會,建築及設備,營建工程,19995400
市政府主管,原住民族事務委員會,建築及設備,其他設備,1490720
市政府主管,原住民族事務委員會,第一預備金,第一預備金,500000
市政府主管,客家事務委員會,一般行政,行政管理,22875292
市政府主管,客家事務委員會,客家政策研究發展,研究發展業務,94216642
市政府主管,客家事務委員會,客家語言文化推廣,文教推廣業務,68341931
市政府主管,客家事務委員會,建築及設備,營建工程,1680000
市政府主管,客家事務委員會,建築及設備,其他設備,2832900
市政府主管,客家事務委員會,第一預備金,第一預備金,600000
市政府主管,松山區公所,一般行政,行政管理,44645917
市政府主管,松山區公所,區政業務,區政管理,150129947
市政府主管,松山區公所,接受補助業務支出,接受中央各部會補助,8939328
市政府主管,松山區公所,建築及設備,營建工程,18959358
市政府主管,松山區公所,建築及設備,交通及運輸設備,63000
市政府主管,松山區公所,建築及設備,其他設備,675630
市政府主管,松山區公所,第一預備金,第一預備金,800000
市政府主管,松山區公所,道路橋樑工程,道路及橋樑工程,0
市政府主管,松山區公所,公園綠化及風景區工程,公園及綠化工程,0
市政府主管,信義區公所,一般行政,行政管理,49385953
市政府主管,信義區公所,區政業務,區政管理,166103407
市政府主管,信義區公所,接受補助業務支出,接受中央各部會補助,448500
市政府主管,信義區公所,建築及設備,營建工程,12981623
市政府主管,信義區公所,建築及設備,其他設備,1887380
市政府主管,信義區公所,第一預備金,第一預備金,800000
市政府主管,信義區公所,道路橋樑工程,道路及橋樑工程,0
市政府主管,信義區公所,公園綠化及風景區工程,公園及綠化工程,0
市政府主管,大安區公所,一般行政,行政管理,54345759
市政府主管,大安區公所,區政業務,區政管理,195752490
市政府主管,大安區公所,接受補助業務支出,接受中央各部會補助,448500
市政府主管,大安區公所,建築及設備,營建工程,251120
市政府主管,大安區公所,建築及設備,其他設備,2049454
市政府主管,大安區公所,第一預備金,第一預備金,800000
市政府主管,大安區公所,道路橋樑工程,道路及橋樑工程,0
市政府主管,大安區公所,公園綠化及風景區工程,公園及綠化工程,0
市政府主管,中山區公所,一般行政,行政管理,51989129
市政府主管,中山區公所,區政業務,區政管理,166786467
市政府主管,中山區公所,接受補助業務支出,接受中央各部會補助,13597348
市政府主管,中山區公所,建築及設備,營建工程,5212072
市政府主管,中山區公所,建築及設備,其他設備,1347517
市政府主管,中山區公所,第一預備金,第一預備金,800000
市政府主管,中山區公所,道路橋樑工程,道路及橋樑工程,0
市政府主管,中山區公所,公園綠化及風景區工程,公園及綠化工程,0
市政府主管,中正區公所,一般行政,行政管理,42005073
市政府主管,中正區公所,區政業務,區政管理,124202634
市政府主管,中正區公所,接受補助業務支出,接受中央各部會補助,448500
市政府主管,中正區公所,建築及設備,營建工程,37115653
市政府主管,中正區公所,建築及設備,其他設備,1485565
市政府主管,中正區公所,第一預備金,第一預備金,800000
市政府主管,中正區公所,道路橋樑工程,道路及橋樑工程,0
市政府主管,中正區公所,公園綠化及風景區工程,公園及綠化工程,0
市政府主管,大同區公所,一般行政,行政管理,51833411
市政府主管,大同區公所,區政業務,區政管理,99444494
市政府主管,大同區公所,接受補助業務支出,接受中央各部會補助,3421635
市政府主管,大同區公所,建築及設備,營建工程,11659224
市政府主管,大同區公所,建築及設備,其他設備,742500
市政府主管,大同區公所,第一預備金,第一預備金,800000
市政府主管,大同區公所,道路橋樑工程,道路及橋樑工程,0
市政府主管,大同區公所,公園綠化及風景區工程,公園及綠化工程,0
市政府主管,萬華區公所,一般行政,行政管理,67720203
市政府主管,萬華區公所,區政業務,區政管理,142503839
市政府主管,萬華區公所,接受補助業務支出,接受中央各部會補助,448500
市政府主管,萬華區公所,建築及設備,營建工程,9982153
市政府主管,萬華區公所,建築及設備,其他設備,2161700
市政府主管,萬華區公所,第一預備金,第一預備金,800000
市政府主管,萬華區公所,道路橋樑工程,道路及橋樑工程,0
市政府主管,萬華區公所,公園綠化及風景區工程,公園及綠化工程,0
市政府主管,文山區公所,一般行政,行政管理,52758857
市政府主管,文山區公所,區政業務,區政管理,174966220
市政府主管,文山區公所,接受補助業務支出,接受中央各部會補助,448500
市政府主管,文山區公所,建築及設備,營建工程,8704843
市政府主管,文山區公所,建築及設備,其他設備,1945076
市政府主管,文山區公所,建築及設備,交通及運輸設備,0
市政府主管,文山區公所,第一預備金,第一預備金,800000
